Date,Hall,Gwinnett,Fulton,Cobb,DeKalb
24April2020,29.24,38.76,35.36,26.86,26.86
26April2020,27.54,28.56,41.48,22.1,19.72
27April2020,60.52,62.9,65.62,95.54,72.08
28April2020,167.62,89.76,83.64,64.26,63.92
29April2020,29.24,63.24,109.48,47.6,58.48
30April2020,27.2,76.16,59.5,45.9,52.7
01May2020,26.86,73.78,39.1,81.6,50.32
02May2020,18.36,33.32,23.46,25.84,44.88
03May2020,6.46,18.36,27.2,13.94,12.92
04May2020,32.64,51,38.42,27.2,33.32
05May2020,14.28,47.6,44.2,41.48,34
06May2020,11.56,56.1,65.28,28.22,43.86
07May2020,2.72,29.92,71.74,19.04,20.4
08May2020,2.72,3.06,11.56,8.5,2.04